bus_name,source,destination,departure_time,arrival_time,doopada katte,lamina,nitte,manjarapalke,belman,santhoor,kujara katte,adve,,,,haleangady
Pattabhi,Karkala,Mangalore,09:55,11:35,,,,,,,,,,,,10:55
Padmambikaa,Karkala,Mangalore,10:15,11:55,,,,,,,,,,,,11:15
Padmambikaa,Karkala,Mangalore,10:30,12:10,,,,,,,,,,,,11:30
Padmambikaa,Karkala,Mangalore,10:42,12:22,,,,,,,,,,,,11:42
Padmambikaa,Karkala,Mangalore,10:52,12:32,,,,,,,,,,,,11:52
Krista Kiran,Karkala,Mangalore,11:00,12:40,,,,,,,,,,,,12:00
Vishal,Karkala,Mangalore,11:08,12:48,,,,,,,,,,,,12:08
Balaji,Karkala,Mangalore,11:20,13:00,,,,,,,,,,,,12:20
Padmambikaa,Karkala,Mangalore,11:30,13:10,,,,,,,,,,,,12:30
Navadurga Prasad,Karkala,Mangalore,11:40,13:20,,,,,,,,,,,,12:40
Pattabhi,Karkala,Mangalore,11:47,13:27,,,,,,,,,,,,12:47
Vishal,Karkala,Mangalore,11:55,13:35,,,,,,,,,,,,12:55
Vishal,Karkala,Mangalore,12:05,13:45,,,,,,,,,,,,13:05
Navadurga Prasad,Karkala,Mangalore,12:15,13:55,,,,,,,,,,,,13:15
Padmambikaa,Karkala,Mangalore,12:25,14:05,,,,,,,,,,,,13:25
His Grace,Karkala,Mangalore,12:35,14:15,,,,,,,,,,,,13:35
Navadurga Prasad,Karkala,Mangalore,12:50,14:30,,,,,,,,,,,,13:50
Laxmi Ganesh,Karkala,Mangalore,13:01,14:41,,,,,,,,,,,,14:01
Vishal,Karkala,Mangalore,13:14,14:54,,,,,,,,,,,,14:14
Laxmi Ganesh,Karkala,Mangalore,13:40,15:20,,,,,,,,,,,,14:45
Bhramaramba,Karkala,Mangalore,13:55,15:35,,,,,,,,,,,,14:55
Padmambika,Karkala,Mangalore,14:05,15:45,,,,,,,,,,,,15:05
Padmambika,Karkala,Mangalore,14:15,15:55,,,,,,,,,,,,15:15
Navadurga Prasad,Karkala,Mangalore,14:25,16:05,,,,,,,,,,,,15:25
Padmambika,Karkala,Mangalore,14:38,16:18,,,,,,,,,,,,15:38
Vishal,Karkala,Mangalore,14:50,16:30,,,,,,,,,,,,15:50
Vishal,Karkala,Mangalore,15:05,16:45,,,,,,,,,,,,16:05
Vishal,Karkala,Mangalore,15:17,16:57,,,,,,,,,,,,16:17
Vishal,Karkala,Mangalore,15:30,17:10,,,,,,,,,,,,16:30
Padmambika,Karkala,Mangalore,15:41,17:21,,,,,,,,,,,,16:41
Padmashree,Karkala,Mangalore,15:50,17:30,,,,,,,,,,,,16:50
Vishal,Karkala,Mangalore,16:00,17:40,,,,,,,,,,,,17:00
Vishal,Karkala,Mangalore,16:10,17:50,,,,,,,,,,,,17:10
Balaji,Karkala,Mangalore,16:20,18:00,,,,,,,,,,,,17:20
Vishal,Karkala,Mangalore,16:35,18:15,,,,,,,,,,,,17:35
Navadurga Prasad,Karkala,Mangalore,16:50,18:30,,,,,,,,,,,,17:50
Vishal,Karkala,Mangalore,17:00,18:40,,,,,,,,,,,,18:00
Vishal,Karkala,Mangalore,17:15,18:55,,,,,,,,,,,,18:15
Bhramaramba,Karkala,Mangalore,17:21,19:01,,,,,,,,,,,,18:21
Vishal,Karkala,Mangalore,17:30,19:10,,,,,,,,,,,,18:30
Padmambika,Karkala,Mangalore,17:40,19:20,,,,,,,,,,,,18:40
Navadurga Prasad,Karkala,Mangalore,17:50,19:30,,,,,,,,,,,,18:50
Padmambika,Karkala,Mangalore,18:05,19:45,,,,,,,,,,,,19:05
Gopalakrishna,Karkala,Mangalore,18:15,19:55,,,,,,,,,,,,19:15
Lakshmi Ganesh,Karkala,Mangalore,18:30,20:10,,,,,,,,,,,,19:30
Navadurga Prasad,Karkala,Mangalore,18:40,20:20,,,,,,,,,,,,19:40
Bhramaramba,Karkala,Mangalore,19:05,20:45,,,,,,,,,,,,20:05
His Grace,Karkala,Mangalore,19:23,21:03,,,,,,,,,,,,20:23
Vishal,Karkala,Mangalore,20:00,21:40,,,,,,,,,,,,21:00
Navadurga Prasad,Karkala,Mangalore,20:45,22:25,,,,,,,,,,,,21:45
Aron,Karkala,Mangalore,01:45,03:25,,,,,,,,,,,,02:45
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
